Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	2/21	2.1786587255327437E-4	0.2507636193088188	0	0	90.70294784580499	764.7737821355596	ALOX12B;ALOX15B
hormone receptor binding (GO:0051427)	2/40	7.995517676019706E-4	0.4601420422549341	0	0	47.61904761904763	339.5932989435838	NPPB;NPPA
G-protein coupled peptide receptor activity (GO:0008528)	2/64	0.0020354236173618363	0.7809241945278246	0	0	29.761904761904763	184.4360510705743	NPR1;NPR3
hormone activity (GO:0005179)	2/83	0.003394806543042501	0.9768555827604797	0	0	22.948938611589217	130.4763855995089	NPPB;NPPA
chloride ion binding (GO:0031404)	1/7	0.0073278982772855125	1.0	0	0	136.05442176870747	668.852589534891	NPR3
cyclic nucleotide-dependent protein kinase activity (GO:0004690)	1/8	0.008370561681605555	1.0	0	0	119.04761904761905	569.4088440724207	PRKG1
neuropeptide receptor binding (GO:0071855)	1/11	0.011492299803033998	1.0	0	0	86.58008658008659	386.67342426217994	NPPA
retinol dehydrogenase activity (GO:0004745)	1/17	0.01770772695128657	1.0	0	0	56.022408963585434	225.980626540215	SDR9C7
calcium-dependent cysteine-type endopeptidase activity (GO:0004198)	1/21	0.021830651495044692	1.0	0	0	45.35147392290249	173.4440029406609	CAPNS2
calcium channel regulator activity (GO:0005246)	1/26	0.026961136138080617	1.0	0	0	36.630036630036635	132.35746711376424	PRKG1
neuropeptide hormone activity (GO:0005184)	1/26	0.026961136138080617	1.0	0	0	36.630036630036635	132.35746711376424	NPPA
metallocarboxypeptidase activity (GO:0004181)	1/28	0.029006146168748567	1.0	0	0	34.01360544217687	120.41658280944579	CPA4
G-protein coupled receptor activity (GO:0004930)	2/267	0.03155522578074772	1.0	0	0	7.1339397182093816	24.65501030013816	NPR1;NPR3
peptidase inhibitor activity (GO:0030414)	1/36	0.03714532981270047	1.0	0	0	26.455026455026456	87.11421236395066	A2ML1
carboxypeptidase activity (GO:0004180)	1/39	0.04018073954422461	1.0	0	0	24.420024420024422	78.49493318644997	CPA4
iron ion binding (GO:0005506)	1/54	0.05522158934050639	1.0	0	0	17.63668430335097	51.082915183811195	ALOX15B
metalloexopeptidase activity (GO:0008235)	1/54	0.05522158934050639	1.0	0	0	17.63668430335097	51.082915183811195	CPA4
transition metal ion binding (GO:0046914)	2/399	0.06497665373554282	1.0	0	0	4.773839360305526	13.050374731610072	AIRE;ALOX15B
cysteine-type endopeptidase activity (GO:0004197)	1/81	0.08173117888128069	1.0	0	0	11.757789535567314	29.445264238250083	CAPNS2
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	1/88	0.08848750688474293	1.0	0	0	10.822510822510823	26.243440498670324	SDR9C7
G-protein coupled receptor binding (GO:0001664)	1/133	0.1308037401396383	1.0	0	0	7.160759040458289	14.565393813305453	NPPA
RNA polymerase II regulatory region DNA binding (GO:0001012)	1/201	0.19121636023886637	1.0	0	0	4.738213693437574	7.83866247771878	AIRE
regulatory region DNA binding (GO:0000975)	1/224	0.21072896595215201	1.0	0	0	4.2517006802721085	6.6206738637960445	AIRE
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	1/254	0.2355071333377671	1.0	0	0	3.749531308586427	5.421875049879271	PRKG1
kinase activity (GO:0016301)	1/280	0.2563806241506652	1.0	0	0	3.4013605442176873	4.629565053150508	PRKG1
calcium ion binding (GO:0005509)	1/284	0.259543350651136	1.0	0	0	3.3534540576794103	4.52324458684082	ALOX15B
transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding (GO:0001228)	1/284	0.259543350651136	1.0	0	0	3.3534540576794103	4.52324458684082	AIRE
transcription regulatory region sequence-specific DNA binding (GO:0000976)	1/292	0.26583041224813286	1.0	0	0	3.2615786040443573	4.321254799282118	AIRE
zinc ion binding (GO:0008270)	1/302	0.27361776217029504	1.0	0	0	3.1535793125197102	4.087111873629457	AIRE
protein serine/threonine kinase activity (GO:0004674)	1/368	0.3230753271889249	1.0	0	0	2.587991718426501	2.9240936124165167	PRKG1
transcription regulatory region DNA binding (GO:0044212)	1/374	0.3274088345353067	1.0	0	0	2.5464731347084286	2.8432534517175228	AIRE
metal ion binding (GO:0046872)	1/442	0.37471122087933545	1.0	0	0	2.1547080370609786	2.1150606061817303	ALOX15B
RNA polymerase II regulatory region sequence-specific DNA binding (GO:0000977)	1/460	0.38669173038422994	1.0	0	0	2.070393374741201	1.967137610127006	AIRE
protein kinase activity (GO:0004672)	1/513	0.4207112379984748	1.0	0	0	1.8564930845632601	1.6073676341302183	PRKG1
protein homodimerization activity (GO:0042803)	1/664	0.508058598920728	1.0	0	0	1.434308663224326	0.9712542826305964	NPR3
