Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin-myosin filament sliding (GO:0033275)	7/38	1.6315134063845027E-17	8.325612912780117E-14	0	0	334.92822966507174	12946.462664434051	MYBPC3;TNNT1;TNNC1;TNNT2;TNNC2;TNNI1;TNNI3
muscle filament sliding (GO:0030049)	7/38	1.6315134063845027E-17	4.1628064563900586E-14	0	0	334.92822966507174	12946.462664434051	MYBPC3;TNNT1;TNNC1;TNNT2;TNNC2;TNNI1;TNNI3
skeletal muscle contraction (GO:0003009)	6/18	9.624820400999108E-17	1.6371819502099482E-13	0	0	606.060606060606	22351.273551839684	TNNT1;TNNC1;TNNT2;TNNC2;TNNI1;TNNI3
striated muscle contraction (GO:0006941)	7/61	5.617987304786995E-16	7.167147304082009E-13	0	0	208.64381520119224	7326.608528546908	MYBPC3;TNNT1;TNNC1;TNNT2;TNNC2;TNNI1;TNNI3
regulation of muscle contraction (GO:0006937)	6/26	1.1917216237886592E-15	1.2162710892387056E-12	0	0	419.5804195804196	14418.200303761516	MYBPC3;CNN1;TNNT1;TNNC1;TNNC2;TNNI1
cardiac muscle contraction (GO:0060048)	6/36	1.0061273730878658E-14	8.557113308112299E-12	0	0	303.030303030303	9766.691704498931	MYBPC3;TNNT1;TNNC1;TNNT2;TNNI1;TNNI3
heart contraction (GO:0060047)	6/44	3.640221240040352E-14	2.6537212839894165E-11	0	0	247.93388429752062	7672.102522781198	MYBPC3;TNNT1;TNNC1;TNNT2;TNNI1;TNNI3
muscle contraction (GO:0006936)	7/137	1.9546370345832188E-13	1.2468140984347706E-10	0	0	92.899800928998	2718.5641917647476	MYBPC3;TNNT1;TNNC1;TNNT2;TNNC2;TNNI1;TNNI3
ventricular cardiac muscle tissue development (GO:0003229)	4/21	2.948705424943552E-10	1.6719159759429939E-7	0	0	346.3203463203463	7599.8215393624	MYBPC3;TNNC1;TNNT2;TNNI3
ventricular cardiac muscle tissue morphogenesis (GO:0055010)	4/34	2.2766471499587695E-9	1.1617730406239601E-6	0	0	213.903743315508	4256.804711136054	MYBPC3;TNNC1;TNNT2;TNNI3
cardiac muscle tissue morphogenesis (GO:0055008)	4/36	2.890101111464904E-9	1.340744179255037E-6	0	0	202.020202020202	3972.116030054148	MYBPC3;TNNC1;TNNT2;TNNI3
regulation of ATPase activity (GO:0043462)	4/40	4.4789478444596715E-9	1.9046725708564754E-6	0	0	181.8181818181818	3495.2504862272613	MYBPC3;TNNC1;TNNT2;TNNI3
cardiac ventricle morphogenesis (GO:0003208)	4/43	6.043168465693419E-9	2.37217605234104E-6	0	0	169.13319238900633	3200.7335952864396	MYBPC3;TNNC1;TNNT2;TNNI3
sarcomere organization (GO:0045214)	3/31	5.516285798955124E-7	2.0106861737191427E-4	0	0	175.95307917888562	2535.5526474459266	MYBPC3;TNNT1;TNNT2
myofibril assembly (GO:0030239)	3/47	1.980407412520879E-6	6.737346017396031E-4	0	0	116.05415860735008	1524.0473466760018	MYBPC3;TNNT1;TNNT2
actomyosin structure organization (GO:0031032)	3/71	6.930537713037532E-6	0.002210408371851908	0	0	76.82458386683739	912.6432642025862	MYBPC3;TNNT1;TNNT2
regulation of muscle system process (GO:0090257)	2/9	9.87909375255386E-6	0.0029654714952519028	0	0	404.040404040404	4656.6019296410295	TNNC1;TNNC2
negative regulation of ATPase activity (GO:0032780)	2/12	1.8095491252897406E-5	0.005130071770196414	0	0	303.030303030303	3309.0447735677058	TNNT2;TNNI3
regulation of striated muscle contraction (GO:0006942)	2/29	1.107501888077093E-4	0.02974516913082845	0	0	125.39184952978056	1142.0982375210615	MYBPC3;TNNI1
positive regulation of ATPase activity (GO:0032781)	2/35	1.6201486834500342E-4	0.04133809365822762	0	0	103.89610389610388	906.7867477439977	MYBPC3;TNNT2
regulation of heart contraction (GO:0008016)	2/95	0.001194115936774526	0.2901701726362098	0	0	38.27751196172248	257.6210208325138	TNNT2;TNNI3
negative regulation of hydrolase activity (GO:0051346)	2/108	0.001539249866364372	0.35703600309351774	0	0	33.67003367003367	218.06262898961688	TNNT2;TNNI3
heart development (GO:0007507)	2/149	0.0029014043048095467	0.6437333116279617	0	0	24.405125076266014	142.5884177220197	MYBPC3;TNNI3
positive regulation of hydrolase activity (GO:0051345)	2/172	0.0038431586801881052	0.8171516143749958	0	0	21.14164904862579	117.57844984238012	MYBPC3;TNNT2
negative regulation of gluconeogenesis (GO:0045721)	1/9	0.0049400429229450454	1.0	0	0	202.020202020202	1072.8042947403599	MST1
cellular response to acidic pH (GO:0071468)	1/9	0.0049400429229450454	0.9695784244534065	0	0	202.020202020202	1072.8042947403599	PKD2L1
regulation of actin filament-based movement (GO:1903115)	1/10	0.005487567669022947	1.0	0	0	181.8181818181818	946.4127580312836	MYBPC3
response to acidic pH (GO:0010447)	1/10	0.005487567669022947	1.0	0	0	181.8181818181818	946.4127580312836	PKD2L1
regulation of mammary gland epithelial cell proliferation (GO:0033599)	1/10	0.005487567669022947	0.965622683276693	0	0	181.8181818181818	946.4127580312836	MST1
myosin filament assembly (GO:0031034)	1/11	0.006034818727760455	1.0	0	0	165.2892561983471	844.6627209436144	MYBPC3
heart process (GO:0003015)	1/11	0.006034818727760455	0.9934090312181163	0	0	165.2892561983471	844.6627209436144	TNNI3
hepatocyte growth factor receptor signaling pathway (GO:0048012)	1/11	0.006034818727760455	0.9623649989925501	0	0	165.2892561983471	844.6627209436144	MST1
negative regulation of vascular smooth muscle cell proliferation (GO:1904706)	1/12	0.006581796197874835	1.0	0	0	151.5151515151515	761.1284231055006	CNN1
sensory perception of taste (GO:0050909)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	PKD2L1
regulation of cAMP-dependent protein kinase activity (GO:2000479)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	MST1
striated muscle myosin thick filament assembly (GO:0071688)	1/13	0.00712850018242009	1.0	0	0	139.86013986013987	691.4201985706308	MYBPC3
regulation of macrophage chemotaxis (GO:0010758)	1/15	0.008221088123671455	1.0	0	0	121.2121212121212	581.9457822463456	MST1
cellular response to pH (GO:0071467)	1/16	0.008766972300957528	1.0	0	0	113.63636363636363	538.268609755357	PKD2L1
detection of mechanical stimulus (GO:0050982)	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.14852790877586	PKD2L1
negative regulation of cellular carbohydrate metabolic process (GO:0010677)	1/17	0.009312583434128836	1.0	0	0	106.951871657754	500.14852790877586	MST1
regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	1/18	0.009857921634816495	1.0	0	0	101.010101010101	466.6141333465025	IFNA4
positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	1/18	0.009857921634816495	1.0	0	0	101.010101010101	466.6141333465025	IFNA4
regulation of gluconeogenesis (GO:0006111)	1/19	0.010402987018789436	1.0	0	0	95.69377990430621	436.90548332320844	MST1
natural killer cell activation involved in immune response (GO:0002323)	1/20	0.010947779702855981	1.0	0	0	90.9090909090909	410.41987364927945	IFNA4
regulation of cardiac muscle contraction by calcium ion signaling (GO:0010882)	1/21	0.011492299803033998	1.0	0	0	86.58008658008657	386.6734242621798	TNNI3
lymphocyte activation involved in immune response (GO:0002285)	1/22	0.012036547438812547	1.0	0	0	82.64462809917354	365.27335849570125	IFNA4
protein homotrimerization (GO:0070207)	1/22	0.012036547438812547	1.0	0	0	82.64462809917354	365.27335849570125	PKD2L1
regulation of smooth muscle contraction (GO:0006940)	1/23	0.012580522725551224	1.0	0	0	79.05138339920948	345.8976661235192	CNN1
response to dsRNA (GO:0043331)	1/24	0.013124225781325726	1.0	0	0	75.75757575757575	328.27995911619576	IFNA4
regulation of vascular smooth muscle cell proliferation (GO:1904705)	1/25	0.013667656724254873	1.0	0	0	72.72727272727272	312.1980407513936	CNN1
