Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hypertrophic cardiomyopathy (HCM)	4/85	9.7993039448859E-8	3.0181856150248574E-5	0	0	85.5614973262032	1380.8230491405652	MYBPC3;TNNC1;TNNT2;TNNI3
Dilated cardiomyopathy (DCM)	4/91	1.2913137537493263E-7	1.9886231807739625E-5	0	0	79.92007992007993	1267.727115848715	MYBPC3;TNNC1;TNNT2;TNNI3
Cardiac muscle contraction	3/78	9.205516370396433E-6	9.450996806940337E-4	0	0	69.93006993006993	810.8886467218842	TNNC1;TNNT2;TNNI3
Adrenergic signaling in cardiomyocytes	3/145	5.9016462597707155E-5	0.004544267620023451	0	0	37.61755485893416	366.30824298054875	TNNC1;TNNT2;TNNI3
Calcium signaling pathway	2/188	0.004571709884427514	0.2816173288807349	0	0	19.342359767891683	104.21408104279578	TNNC1;TNNC2
Autoimmune thyroid disease	1/53	0.02877373299362358	1.0	0	0	34.305317324185246	121.72529526045803	IFNA4
Cytosolic DNA-sensing pathway	1/63	0.03411758472221407	1.0	0	0	28.860028860028855	97.48751361059381	IFNA4
RIG-I-like receptor signaling pathway	1/70	0.037842362503763806	1.0	0	0	25.97402597402597	85.04743123936544	IFNA4
Taste transduction	1/83	0.044725183473176736	1.0	0	0	21.90580503833516	68.0661237096331	PKD2L1
Toll-like receptor signaling pathway	1/104	0.05574908910260626	1.0	0	0	17.482517482517483	50.47017845702964	IFNA4
Natural killer cell mediated cytotoxicity	1/131	0.0697527247352707	1.0	0	0	13.879250520471894	36.95765155778898	IFNA4
Measles	1/138	0.0733523435107302	1.0	0	0	13.175230566534914	34.42003722266562	IFNA4
Hepatitis C	1/155	0.08204161892727208	1.0	0	0	11.730205278592374	29.331713930594585	IFNA4
JAK-STAT signaling pathway	1/162	0.08559797531574136	1.0	0	0	11.223344556677889	27.588031974945704	IFNA4
Necroptosis	1/162	0.08559797531574136	1.0	0	0	11.223344556677889	27.588031974945704	IFNA4
Hepatitis B	1/163	0.08610500246845536	1.0	0	0	11.154489682097044	27.352903162937054	IFNA4
Influenza A	1/171	0.09015202801117	1.0	0	0	10.632642211589578	25.584878613733867	IFNA4
NOD-like receptor signaling pathway	1/178	0.09367980328128718	1.0	0	0	10.214504596527068	24.186646165431487	IFNA4
Tuberculosis	1/179	0.09418275481990468	1.0	0	0	10.15744032503809	23.997137470914602	IFNA4
Kaposi sarcoma-associated herpesvirus infection	1/186	0.0976963172043407	1.0	0	0	9.775171065493646	22.735986467097657	IFNA4
Epstein-Barr virus infection	1/201	0.10518369495092054	1.0	0	0	9.045680687471732	20.37129788920578	IFNA4
Human immunodeficiency virus 1 infection	1/212	0.11063849224487966	1.0	0	0	8.576329331046312	18.88067941076758	IFNA4
cAMP signaling pathway	1/212	0.11063849224487966	1.0	0	0	8.576329331046312	18.88067941076758	TNNI3
Human cytomegalovirus infection	1/225	0.11704608772043043	1.0	0	0	8.08080808080808	17.334848562480556	IFNA4
Cytokine-cytokine receptor interaction	1/294	0.15035857652347376	1.0	0	0	6.184291898577612	11.71757778264309	IFNA4
Human papillomavirus infection	1/330	0.16728158864940687	1.0	0	0	5.509641873278237	9.851662407488599	IFNA4
PI3K-Akt signaling pathway	1/354	0.178392738967805	1.0	0	0	5.136106831022085	8.853455369890298	IFNA4
Herpes simplex virus 1 infection	1/492	0.23970805373630247	1.0	0	0	3.6954915003695494	5.278394452596469	IFNA4
Pathways in cancer	1/530	0.2558452420092695	1.0	0	0	3.4305317324185247	4.67644096295647	IFNA4
