Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
actin binding (GO:0003779)	5/254	1.378669662332532E-7	1.5868487813447442E-4	0	0	35.79098067287043	565.3892852380422	MYBPC3;TNNC1;TNNT2;TNNC2;TNNI3
calcium ion binding (GO:0005509)	5/284	2.401177004218523E-7	1.38187736592776E-4	0	0	32.010243277848915	487.9045011330298	TNNT1;TNNC1;TNNT2;TNNC2;PKD2L1
actin filament binding (GO:0051015)	4/127	4.943068464417084E-7	1.8964906008480214E-4	0	0	57.2655690765927	831.5023258953233	MYBPC3;TNNC1;TNNC2;TNNI3
metal ion binding (GO:0046872)	5/442	2.13347986830201E-6	6.139088321039033E-4	0	0	20.567667626491154	268.56758885971044	TNNT1;TNNC1;TNNT2;TNNC2;PKD2L1
tropomyosin binding (GO:0005523)	2/14	2.4934956376747194E-5	0.005740026957927204	0	0	259.7402597402597	2753.049316479604	TNNT1;TNNT2
muscle alpha-actinin binding (GO:0051371)	2/16	3.286162327694617E-5	0.0063039547319608405	0	0	227.27272727272725	2346.1829651795324	MYBPC3;PKD2L1
alpha-actinin binding (GO:0051393)	2/29	1.107501888077093E-4	0.0182104953310962	0	0	125.39184952978056	1142.0982375210615	MYBPC3;PKD2L1
ATPase activity, coupled (GO:0042623)	2/94	0.0011693273243550079	0.16823696879157676	0	0	38.684719535783366	261.1731772518576	TNNT1;TNNT2
myosin heavy chain binding (GO:0032036)	1/7	0.00384417200458596	0.4916268863642711	0	0	259.7402597402597	1444.4667643181622	MYBPC3
calcium channel inhibitor activity (GO:0019855)	1/10	0.005487567669022947	0.6316190387045412	0	0	181.8181818181818	946.4127580312836	TNNI3
titin binding (GO:0031432)	1/14	0.007674930787541144	0.8030768487690779	0	0	129.87012987012986	632.4410394103228	MYBPC3
type I interferon receptor binding (GO:0005132)	1/16	0.008766972300957528	0.8408987598668429	0	0	113.63636363636363	538.268609755357	IFNA4
calcium-activated potassium channel activity (GO:0015269)	1/18	0.009857921634816495	0.8728052155133681	0	0	101.010101010101	466.6141333465025	PKD2L1
actinin binding (GO:0042805)	1/22	0.012036547438812547	0.9895761501480888	0	0	82.64462809917354	365.27335849570125	PKD2L1
ATPase activator activity (GO:0001671)	1/23	0.012580522725551224	0.9653454438072973	0	0	79.05138339920948	345.8976661235192	MYBPC3
calcium activated cation channel activity (GO:0005227)	1/23	0.012580522725551224	0.9050113535693411	0	0	79.05138339920948	345.8976661235192	PKD2L1
ion gated channel activity (GO:0022839)	1/25	0.013667656724254873	0.9253807582127859	0	0	72.72727272727272	312.1980407513936	PKD2L1
calcium channel regulator activity (GO:0005246)	1/26	0.014210815676953212	0.9087027135651748	0	0	69.93006993006993	297.46517041295465	TNNI3
taste receptor activity (GO:0008527)	1/31	0.016922534733464	1.0	0	0	58.651026392961874	239.24393718954147	PKD2L1
ion channel inhibitor activity (GO:0008200)	1/33	0.01800532259639319	1.0	0	0	55.09641873278237	221.32715509624902	TNNI3
ion transmembrane transporter activity (GO:0015075)	1/35	0.01908702632439229	1.0	0	0	51.94805194805194	205.64916492239948	PKD2L1
ATPase regulator activity (GO:0060590)	1/38	0.020707551273270317	1.0	0	0	47.846889952153106	185.51468179054868	MYBPC3
receptor tyrosine kinase binding (GO:0030971)	1/39	0.021247185233602552	1.0	0	0	46.620046620046615	179.5585478778756	MST1
sodium channel activity (GO:0005272)	1/40	0.02178654888216798	1.0	0	0	45.45454545454545	173.93011469901603	PKD2L1
myosin binding (GO:0017022)	1/46	0.025017061022238465	1.0	0	0	39.52569169960474	145.77854727198783	MYBPC3
protein tyrosine kinase binding (GO:1990782)	1/48	0.026091741385155156	1.0	0	0	37.878787878787875	138.11122866478058	MST1
sodium ion transmembrane transporter activity (GO:0015081)	1/71	0.038373406353793084	1.0	0	0	25.60819462227913	83.49271708519889	PKD2L1
calcium ion transmembrane transporter activity (GO:0015085)	1/77	0.0415540781399269	1.0	0	0	23.612750885478157	75.10648435226321	PKD2L1
calcium channel activity (GO:0005262)	1/93	0.049989170431872655	1.0	0	0	19.550342130987293	58.571825774698624	PKD2L1
ion channel activity (GO:0005216)	1/93	0.049989170431872655	1.0	0	0	19.550342130987293	58.571825774698624	PKD2L1
cation transmembrane transporter activity (GO:0008324)	1/97	0.052087371500602615	1.0	0	0	18.74414245548266	55.38580598364908	PKD2L1
potassium channel activity (GO:0005267)	1/100	0.05365825675086383	1.0	0	0	18.18181818181818	53.183998571839524	PKD2L1
cytokine receptor binding (GO:0005126)	1/137	0.07283888870776588	1.0	0	0	13.271400132714	34.76450273204473	IFNA4
cation channel activity (GO:0005261)	1/146	0.07745068546971694	1.0	0	0	12.453300124533	31.856959672202937	PKD2L1
cytokine activity (GO:0005125)	1/155	0.08204161892727208	1.0	0	0	11.730205278592374	29.331713930594585	IFNA4
kinase binding (GO:0019900)	1/418	0.20736674988616646	1.0	0	0	4.349717268377555	6.843263657301649	TNNI3
protein kinase binding (GO:0019901)	1/495	0.24099351303656935	1.0	0	0	3.6730945821854912	5.226759459006264	TNNI3
protein homodimerization activity (GO:0042803)	1/664	0.31029662751747084	1.0	0	0	2.738225629791895	3.2043444031897663	TNNC1
